software.sava.core.accounts.token.Token2022,parseExtensions,78,RemoveConditionalMutator_EQUAL_IF,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialMintBurn,hashCode,81,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialMintBurn,hashCode,82,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialMintBurn,hashCode,83,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialMintBurn,read,36,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,162,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,163,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,164,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,165,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,166,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,167,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,168,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,169,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,170,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,171,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferAccount,hashCode,172,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferFeeConfig,hashCode,69,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferFeeConfig,hashCode,70,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.ConfidentialTransferFeeConfig,hashCode,71,MathMutator,SURVIVED
software.sava.core.accounts.token.extensions.TokenMetadata,read,54,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED
software.sava.core.accounts.token.extensions.UnknownTokenExtension,hashCode,42,MathMutator,SURVIVED
